system_id,slice_name,slice_value,source_field,query_count,graded_nDCG@10,MRR@10_rel2,pooled_Recall@10_rel2,HitRate@5_rel2,Judged@5,Judged@10,Judged@20,Judged@30,Wrong-Dialect@5,Wrong-Version@5,Unknown-Version@5,Unresolved-Current@5,estimate_warning
hybrid_rrf_frozen_control_v1,dialect,postgresql,dialect,50,0.2682822065458198,0.37535714285714283,0.48533333333333334,0.48,1.0,1.0,1.0,1.0,0.38799999999999996,0.0,0.0,0.0,
hybrid_rrf_frozen_control_v1,dialect,mysql,dialect,50,0.3844606541016802,0.507888888888889,0.5408095238095239,0.62,1.0,1.0,1.0,1.0,0.188,0.0,0.0,0.0,
hybrid_rrf_frozen_control_v1,dialect,sqlite,dialect,50,0.1732258349441225,0.2112142857142857,0.2866666666666667,0.32,1.0,1.0,1.0,1.0,0.316,0.004,0.0,0.0,
hybrid_rrf_frozen_control_v1,dialect,mariadb,dialect,50,0.3636584075954493,0.5406666666666667,0.5566666666666666,0.66,1.0,1.0,1.0,1.0,0.21200000000000002,0.0,0.048,0.16400000000000003,
hybrid_rrf_frozen_control_v1,dialect,duckdb,dialect,50,0.34528928004213383,0.5245793650793651,0.6313333333333333,0.64,1.0,1.0,1.0,1.0,0.248,0.012000000000000002,0.0,0.0,
hybrid_rrf_frozen_control_v1,case_flag,dialect-sensitive,case_flags.requires_dialect_reasoning,174,0.3318014016645798,0.4714536580915891,0.5231253420908593,0.5919540229885057,1.0,1.0,1.0,1.0,0.2563218390804598,0.004597701149425287,0.013793103448275862,0.025287356321839084,
hybrid_rrf_frozen_control_v1,case_flag,version-sensitive,case_flags.requires_version_reasoning,53,0.43133746431345094,0.6051886792452831,0.6781221922731356,0.7547169811320755,1.0,1.0,1.0,1.0,0.1018867924528302,0.011320754716981133,0.011320754716981133,0.04905660377358491,
hybrid_rrf_dialect_aware_v1,dialect,postgresql,dialect,50,0.2950582193610707,0.4071666666666667,0.5153333333333333,0.52,1.0,1.0,1.0,1.0,0.156,0.004,0.0,0.0,
hybrid_rrf_dialect_aware_v1,dialect,mysql,dialect,50,0.40925188922362143,0.5363888888888888,0.5624761904761905,0.62,1.0,1.0,1.0,1.0,0.04,0.0,0.0,0.0,
hybrid_rrf_dialect_aware_v1,dialect,sqlite,dialect,50,0.19292714767490307,0.23141269841269843,0.31666666666666665,0.34,1.0,1.0,1.0,1.0,0.12,0.004,0.0,0.0,
hybrid_rrf_dialect_aware_v1,dialect,mariadb,dialect,50,0.3733822715267997,0.5613333333333334,0.56,0.7,1.0,1.0,1.0,1.0,0.11200000000000002,0.0,0.055999999999999994,0.188,
hybrid_rrf_dialect_aware_v1,dialect,duckdb,dialect,50,0.3574979555150252,0.5297936507936508,0.6413333333333334,0.66,1.0,1.0,1.0,1.0,0.07600000000000001,0.012000000000000002,0.0,0.0,
hybrid_rrf_dialect_aware_v1,case_flag,dialect-sensitive,case_flags.requires_dialect_reasoning,174,0.3490543444552144,0.49092775041050907,0.5389299397920088,0.6206896551724138,1.0,1.0,1.0,1.0,0.09885057471264368,0.004597701149425287,0.016091954022988506,0.03218390804597702,
hybrid_rrf_dialect_aware_v1,case_flag,version-sensitive,case_flags.requires_version_reasoning,53,0.4369232391882787,0.614622641509434,0.6781221922731356,0.7547169811320755,1.0,1.0,1.0,1.0,0.022641509433962266,0.011320754716981133,0.011320754716981133,0.052830188679245285,
hybrid_rrf_version_aware_v1,dialect,postgresql,dialect,50,0.28966206147507895,0.40157936507936504,0.49866666666666665,0.54,1.0,1.0,1.0,1.0,0.292,0.0,0.0,0.0,
hybrid_rrf_version_aware_v1,dialect,mysql,dialect,50,0.3887232752344616,0.5255,0.5284761904761904,0.66,1.0,1.0,1.0,1.0,0.04,0.0,0.0,0.0,
hybrid_rrf_version_aware_v1,dialect,sqlite,dialect,50,0.1708986641174484,0.21223809523809525,0.2916666666666667,0.28,1.0,1.0,1.0,1.0,0.26,0.004,0.0,0.0,
hybrid_rrf_version_aware_v1,dialect,mariadb,dialect,50,0.37904070574192394,0.5680238095238095,0.5866666666666667,0.68,1.0,1.0,1.0,1.0,0.168,0.0,0.04,0.136,
hybrid_rrf_version_aware_v1,dialect,duckdb,dialect,50,0.3591088608169629,0.5456904761904762,0.6346666666666667,0.72,1.0,1.0,1.0,1.0,0.1,0.004,0.0,0.0,
hybrid_rrf_version_aware_v1,case_flag,dialect-sensitive,case_flags.requires_dialect_reasoning,174,0.3414270254185564,0.48743158182813356,0.5382594417077176,0.6206896551724138,1.0,1.0,1.0,1.0,0.15862068965517243,0.0022988505747126436,0.011494252873563218,0.020689655172413793,
hybrid_rrf_version_aware_v1,case_flag,version-sensitive,case_flags.requires_version_reasoning,53,0.4422591721549161,0.6323899371069183,0.6844115004492364,0.7547169811320755,1.0,1.0,1.0,1.0,0.06415094339622643,0.0037735849056603774,0.007547169811320755,0.04905660377358491,
hybrid_rrf_dialect_version_aware_v1,dialect,postgresql,dialect,50,0.31338110960247273,0.4530793650793651,0.5586666666666666,0.58,1.0,1.0,1.0,1.0,0.156,0.0,0.0,0.0,
hybrid_rrf_dialect_version_aware_v1,dialect,mysql,dialect,50,0.38633090306248535,0.5321666666666667,0.5118095238095238,0.66,1.0,1.0,1.0,1.0,0.032,0.0,0.0,0.0,
hybrid_rrf_dialect_version_aware_v1,dialect,sqlite,dialect,50,0.1778232711483662,0.20957142857142855,0.3116666666666667,0.28,1.0,1.0,1.0,1.0,0.11599999999999999,0.0,0.0,0.0,
hybrid_rrf_dialect_version_aware_v1,dialect,mariadb,dialect,50,0.39810722168599705,0.5984126984126984,0.6116666666666667,0.7,1.0,1.0,1.0,1.0,0.1,0.0,0.036000000000000004,0.136,
hybrid_rrf_dialect_version_aware_v1,dialect,duckdb,dialect,50,0.37088956510020893,0.5512460317460317,0.6896666666666667,0.72,1.0,1.0,1.0,1.0,0.068,0.004,0.0,0.0,
hybrid_rrf_dialect_version_aware_v1,case_flag,dialect-sensitive,case_flags.requires_dialect_reasoning,174,0.35344058806343165,0.5080961503375296,0.561247947454844,0.6264367816091954,1.0,1.0,1.0,1.0,0.09195402298850575,0.0011494252873563218,0.010344827586206896,0.020689655172413793,
hybrid_rrf_dialect_version_aware_v1,case_flag,version-sensitive,case_flags.requires_version_reasoning,53,0.450416398071657,0.6729035639412998,0.7127133872416892,0.7735849056603774,1.0,1.0,1.0,1.0,0.018867924528301886,0.0037735849056603774,0.0037735849056603774,0.03773584905660377,
hybrid_rrf_dialect_version_lexical_rerank_v1,dialect,postgresql,dialect,50,0.32418188949157667,0.4762777777777778,0.5953333333333333,0.64,1.0,1.0,1.0,1.0,0.156,0.0,0.0,0.0,
hybrid_rrf_dialect_version_lexical_rerank_v1,dialect,mysql,dialect,50,0.3961558459177572,0.5438333333333333,0.5258095238095238,0.66,1.0,1.0,1.0,1.0,0.032,0.0,0.0,0.0,
hybrid_rrf_dialect_version_lexical_rerank_v1,dialect,sqlite,dialect,50,0.19177426997630057,0.23173809523809524,0.32166666666666666,0.32,1.0,1.0,1.0,1.0,0.11599999999999999,0.0,0.0,0.0,
hybrid_rrf_dialect_version_lexical_rerank_v1,dialect,mariadb,dialect,50,0.40833347964212136,0.6038888888888888,0.6216666666666666,0.74,1.0,1.0,1.0,1.0,0.10400000000000001,0.0,0.044000000000000004,0.14400000000000002,
hybrid_rrf_dialect_version_lexical_rerank_v1,dialect,duckdb,dialect,50,0.4074044024162027,0.618,0.7336666666666666,0.8,1.0,1.0,1.0,1.0,0.068,0.004,0.0,0.0,
hybrid_rrf_dialect_version_lexical_rerank_v1,case_flag,dialect-sensitive,case_flags.requires_dialect_reasoning,174,0.37396256950285595,0.5393564130633096,0.5894088669950739,0.6781609195402298,1.0,1.0,1.0,1.0,0.09310344827586206,0.0011494252873563218,0.012643678160919542,0.022988505747126436,
hybrid_rrf_dialect_version_lexical_rerank_v1,case_flag,version-sensitive,case_flags.requires_version_reasoning,53,0.4783449769309644,0.6941823899371069,0.7567385444743935,0.8301886792452831,1.0,1.0,1.0,1.0,0.018867924528301886,0.0037735849056603774,0.007547169811320755,0.041509433962264156,
