source_id,source_name,dialect,source_type,authority_class,version,version_min,version_max,version_status,base_url,raw_documents,final_documents,final_chunks,failed_urls,license_or_terms_note
postgresql_18_6_manual,PostgreSQL 18.6 Reference Manual,postgresql,official_docs,official_project_documentation,18.6,18.6,18.6,exact,https://www.postgresql.org/docs/18/,388,173,735,0,"PostgreSQL documentation license permits use, copying, modification, and distribution when the copyright and disclaimer notices are retained; see legalnotice.html."
postgresql_17_11_manual,PostgreSQL 17.11 Reference Manual,postgresql,official_docs,official_project_documentation,17.11,17.11,17.11,exact,https://www.postgresql.org/docs/17/,385,185,733,0,"PostgreSQL documentation license permits use, copying, modification, and distribution when the copyright and disclaimer notices are retained; see legalnotice.html."
postgresql_14_24_manual,PostgreSQL 14.24 Reference Manual,postgresql,official_docs,official_project_documentation,14.24,14.24,14.24,exact,https://www.postgresql.org/docs/14/,1157,366,932,0,"PostgreSQL documentation license permits use, copying, modification, and distribution when the copyright and disclaimer notices are retained; see legalnotice.html."
mysql_8_4_help,MySQL Community 8.4.11 Built-in HELP Catalog,mysql,project_docs,project_maintained_technical_documentation,8.4.11,8.4.0,8.4.11,range,https://dev.mysql.com/doc/refman/8.4/en/,1,1,884,0,The pinned source file carries GPLv2 terms and additional linking permissions. This corpus uses it instead of redistributing Oracle's separately licensed standalone manual.
mysql_8_4_errors,MySQL Community 8.4.11 Error Catalog,mysql,error_reference,project_maintained_technical_documentation,8.4.11,8.4.0,8.4.11,range,https://github.com/mysql/mysql-server/tree/99960bf74fa919347e4f4e3ca47672f333d6e91f/share,2,2,292,0,"The pinned error-catalog source files carry GPLv2 terms; their exact symbolic names, SQLSTATE values, placeholders, and messages are retained."
mysql_8_0_help,MySQL Community 8.0.46 Built-in HELP Catalog,mysql,project_docs,project_maintained_technical_documentation,8.0.46,8.0.0,8.0.46,range,https://dev.mysql.com/doc/refman/8.0/en/,1,1,931,0,The pinned source file carries GPLv2 terms and additional linking permissions. It provides legacy 8.x syntax and behavior without republishing Oracle's standalone manual.
mysql_8_0_errors,MySQL Community 8.0.46 Error Catalog,mysql,error_reference,project_maintained_technical_documentation,8.0.46,8.0.0,8.0.46,range,https://github.com/mysql/mysql-server/tree/0a7df2e4693d8f10901a26034ae6257699356e30/share,2,2,293,0,The pinned error-catalog source files carry GPLv2 terms; legacy 8.0 records are kept in a distinct version scope.
sqlite_3_53_4_docs,SQLite 3.53.4 Official Documentation Bundle,sqlite,official_docs,official_project_documentation,3.53.4,3.53.4,3.53.4,exact,https://www.sqlite.org/,830,551,2400,0,SQLite states that its code and documentation are dedicated to the public domain; see https://www.sqlite.org/copyright.html.
mariadb_docs_snapshot,MariaDB Community Server Official Documentation Snapshot,mariadb,official_docs,official_project_documentation,current,,,current,https://mariadb.com/docs/server/,5070,876,2007,0,"The official repository uses per-page terms, commonly CC BY-SA / GNU FDL or GPLv2. The collector records each marker and excludes pages marked all rights reserved."
mariadb_11_4_10_help,MariaDB Community Server 11.4.10 Built-in HELP Catalog,mariadb,project_docs,project_maintained_technical_documentation,11.4.10,11.4.10,11.4.10,exact,https://github.com/MariaDB/server/tree/054a893f1645b77e52a329a7fc8cf614eebd1fad/scripts,1,1,348,0,The pinned MariaDB Server source file is GPLv2; retain upstream copyright and license provenance.
mariadb_11_4_10_errors,MariaDB Community Server 11.4.10 Error Catalog,mariadb,error_reference,project_maintained_technical_documentation,11.4.10,11.4.10,11.4.10,exact,https://github.com/MariaDB/server/tree/054a893f1645b77e52a329a7fc8cf614eebd1fad/sql/share,1,1,45,0,"The pinned MariaDB Server error catalog is GPLv2; symbolic names, assigned numbers, SQLSTATE fields, placeholders, and English messages are retained."
duckdb_docs_snapshot,DuckDB Official Documentation and Release Snapshot,duckdb,official_docs,official_project_documentation,1.5,1.5.0,1.5.x,current,https://duckdb.org/docs/current/,446,384,2400,0,The duckdb-web repository is maintained by the DuckDB project and distributed under the MIT License; retain its copyright and license notice.
